Dates,US,EE,BP,CD,SF,SK,NIB,AU,NZ,JY
02-Oct-00,6.80438,4.98875,6.17813,5.84167,3.57,,7.41,6.52531,,0.54
03-Oct-00,6.8025,4.97875,6.17594,5.84333,3.57333,,7.41,6.5225,,0.53875
04-Oct-00,6.8025,4.97875,6.18188,5.84333,3.55333,,7.41,6.45406,,0.54
05-Oct-00,6.8025,4.98,6.18,5.84,3.54667,,7.46,6.40906,,0.5375
06-Oct-00,6.8025,5.02,6.17656,5.84,3.55,,7.46,6.39906,,0.52875
09-Oct-00,6.8,5.02,6.17531,5.84333,3.545,,7.46,6.375,,0.52625
10-Oct-00,6.80188,5.01938,6.17781,5.84167,3.54333,,7.5,6.41188,,0.5225
11-Oct-00,6.79875,5.00313,6.17781,5.84,3.54,,7.57,6.42125,,0.52125
12-Oct-00,6.79813,5.00313,6.17969,5.84,3.54,,7.61,6.41688,,0.52
13-Oct-00,6.77063,4.99,6.16453,5.82833,3.51833,,7.59,6.38125,,0.5175
16-Oct-00,6.77375,5.00813,6.165,5.835,3.52833,,7.6,6.39781,,0.5175
17-Oct-00,6.77,5.0175,6.165,5.83833,3.52667,,7.57,6.41656,,0.5175
18-Oct-00,6.76,5.015,6.15781,5.835,3.49833,,7.57,6.39656,,0.51
19-Oct-00,6.76,5.02938,6.15156,5.835,3.495,,7.56,6.3875,,0.51125
20-Oct-00,6.76125,5.04,6.15016,5.83333,3.5,,7.6,6.38125,,0.5125
23-Oct-00,6.76,5.06313,6.1475,5.83167,3.51,,7.6,6.38,,0.51375
24-Oct-00,6.76,5.0925,6.14625,5.835,3.505,,7.53,6.3475,,0.51375
25-Oct-00,6.76,5.09813,6.1475,5.835,3.50167,,7.49,6.33344,,0.51375
26-Oct-00,6.75875,5.1225,6.145,5.835,3.50333,,7.5,6.355,,0.5175
27-Oct-00,6.7575,5.12625,6.14625,5.84333,3.51833,,7.51,6.34,,0.51625
30-Oct-00,6.75875,5.1325,6.145,5.84167,3.525,,7.51,6.36375,,0.5225
31-Oct-00,6.76,5.1375,6.14563,5.84167,3.49167,,7.5,6.3775,,0.5225
01-Nov-00,6.75875,5.13563,6.14625,5.845,3.50167,,7.49,6.38,,0.525
02-Nov-00,6.75125,5.1275,6.13,5.84333,3.5,,7.43,6.3675,,0.5325
03-Nov-00,6.75063,5.12188,6.12625,5.845,3.505,,7.46,6.38156,,0.52813
06-Nov-00,6.75375,5.12,6.12063,5.85,3.505,,7.45,6.37125,,0.53125
07-Nov-00,6.75813,5.12,6.115,5.85667,3.50167,,7.43,6.365,,0.535
08-Nov-00,6.75938,5.12,6.11375,5.85833,3.495,,7.42,6.31313,,0.54125
09-Nov-00,6.76,5.12,6.115,5.86333,3.515,,7.43,6.29031,,0.54375
