Dates,US,EE,BP,CD,SF,SK,NIB,AU,NZ,JY
02-Oct-00,1,1.139860937,0.682035193,1.5095,1.737,9.7375,9.1498,1.831166453,2.462447673,108.83
03-Oct-00,1,1.141943588,0.685119211,1.5039,1.7323,9.8038,9.1885,1.849796522,2.478929103,108.87
04-Oct-00,1,1.143379831,0.685072275,1.4941,1.7352,9.7759,9.1725,1.860465116,2.466699556,109.28
05-Oct-00,1,1.150615579,0.692568737,1.4975,1.7522,9.8018,9.239,1.887504719,2.496878901,109.11
06-Oct-00,1,1.151543068,0.691610761,1.5035,1.7501,9.8503,9.2461,1.873360809,2.491901321,108.81
09-Oct-00,1,1.15114539,0.690274039,1.5027,1.7516,9.8679,9.2596,1.86115764,2.430724356,108.85
10-Oct-00,1,1.147315282,0.68747422,1.5013,1.7435,9.8939,9.2412,1.871607711,2.469135802,107.75
11-Oct-00,1,1.151675688,0.683620454,1.5053,1.7426,9.8981,9.2972,1.876524676,2.469745616,107.77
12-Oct-00,1,1.158748552,0.679624847,1.5159,1.7435,9.9499,9.3164,1.884658877,2.515090543,107.7
13-Oct-00,1,1.168224299,0.68975031,1.5063,1.7683,9.9454,9.4046,1.892147588,2.508780733,107.83
16-Oct-00,1,1.17674747,0.690750846,1.5181,1.7749,10.0167,9.4311,1.91424196,2.53421186,108.05
17-Oct-00,1,1.170548987,0.689512515,1.5195,1.7684,9.9792,9.4306,1.919385797,2.536783359,108.02
18-Oct-00,1,1.192037192,0.692712663,1.5168,1.7879,10.1624,9.5646,1.917545542,2.537427049,107.7
19-Oct-00,1,1.185395922,0.691371681,1.5114,1.7843,10.0644,9.4937,1.917545542,2.527167046,108.45
20-Oct-00,1,1.187507422,0.689084895,1.5114,1.7819,10.0977,9.4611,1.89000189,2.483238143,108.85
23-Oct-00,1,1.197031362,0.687899842,1.5108,1.7977,10.1393,9.5074,1.900418092,2.499375156,108.24
24-Oct-00,1,1.196315349,0.689655172,1.516,1.7983,10.1225,9.4921,1.907668829,2.487562189,107.75
25-Oct-00,1,1.208897485,0.698324022,1.5172,1.8215,10.2633,9.5845,1.922337562,2.505637685,108.22
26-Oct-00,1,1.204383958,0.696184907,1.5257,1.8197,10.2559,9.5644,1.916810427,2.48818114,108.34
27-Oct-00,1,1.191469081,0.687285223,1.5291,1.8057,10.0977,9.4407,1.910219675,2.481389578,108.65
30-Oct-00,1,1.188919272,0.68998827,1.5313,1.8087,10.1112,9.401,1.91424196,2.487562189,108.98
31-Oct-00,1,1.177995052,0.690750846,1.5237,1.7973,9.9915,9.274,1.928640309,2.53871541,108.84
01-Nov-00,1,1.16117046,0.688895012,1.5341,1.776,9.8448,9.1926,1.904399162,2.508780733,108.17
02-Nov-00,1,1.164958062,0.692856648,1.5313,1.7783,9.8981,9.2353,1.91791331,2.510040161,108.22
03-Nov-00,1,1.153934918,0.690369348,1.5327,1.7563,9.8616,9.1805,1.900057002,2.506893958,107.08
06-Nov-00,1,1.15942029,0.700721743,1.531,1.7661,9.949,9.2425,1.895734597,2.51319427,107.44
07-Nov-00,1,1.162790698,0.697690644,1.534,1.7686,9.9587,9.2446,1.89107413,2.50501002,107.07
08-Nov-00,1,1.168907072,0.702641934,1.5422,1.7751,10.0144,9.2923,1.898253607,2.514458134,107.25
09-Nov-00,1,1.153934918,0.697690644,1.5495,1.7535,9.921,9.198,1.896094046,2.501876407,107.44
10-Nov-00,1,1.163331782,0.701557458,1.5424,1.7718,9.9989,9.2968,1.925298421,2.5335698,107.87
13-Nov-00,1,1.166725003,0.695458655,1.545,1.7741,10.0832,9.3195,1.923446817,2.5335698,107.69
14-Nov-00,1,1.166044776,0.698958552,1.5458,1.775,10.0688,9.3732,1.92566917,2.522068096,108.17
15-Nov-00,1,1.166180758,0.700819959,1.5526,1.7798,10.0891,9.3707,1.920122888,2.511931675,108.78
16-Nov-00,1,1.172058134,0.701508243,1.5557,1.7871,10.1356,9.3746,1.920491646,2.490660025,108.94
17-Nov-00,1,1.179523473,0.702888873,1.5567,1.7995,10.1932,9.4119,1.927525058,2.496255617,108.77
20-Nov-00,1,1.174536058,0.702247191,1.5571,1.7935,10.18,9.4081,1.945146859,2.528445006,109.88
21-Nov-00,1,1.184834123,0.705218618,1.5518,1.8036,10.31,9.506,1.963093836,2.554278416,110.07
22-Nov-00,1,1.182452406,0.71063104,1.5455,1.8006,10.267,9.4836,1.90077932,2.490660025,110.15
23-Nov-00,1,1.191469081,0.714438808,1.5443,1.8135,10.3538,9.5425,1.914975105,2.498126405,110.22
24-Nov-00,1,1.193317422,0.714591968,1.5387,1.8077,10.356,9.5674,1.910219675,2.500625156,111.28
27-Nov-00,1,1.172470395,0.705417607,1.536,1.7747,10.1824,9.4086,1.902587519,2.463054187,110.57
28-Nov-00,1,1.16836079,0.705318098,1.537,1.7641,10.1391,9.3703,1.91424196,2.477700694,110.17
29-Nov-00,1,1.165772907,0.703135986,1.5438,1.7601,10.1282,9.376,1.914975105,2.474634991,111.24
30-Nov-00,1,1.145606599,0.701705143,1.537,1.729,10.0071,9.2669,1.894657067,2.426595487,110.38
01-Dec-00,1,1.136492783,0.693337031,1.5466,1.7221,9.8533,9.2198,1.858045336,2.394636015,111.29
04-Dec-00,1,1.129050469,0.688895012,1.5439,1.7022,9.7159,9.1973,1.840603718,2.360160491,111.12
05-Dec-00,1,1.136492783,0.69827526,1.5431,1.715,9.7293,9.1889,1.853911754,2.377555873,111.16
06-Dec-00,1,1.121076233,0.692568737,1.528,1.6979,9.5705,9.0439,1.822489521,2.335902826,110.19
07-Dec-00,1,1.125492403,0.69213732,1.5297,1.7,9.7161,9.1186,1.829156759,2.341372044,110.53
08-Dec-00,1,1.125112511,0.68880011,1.5159,1.7011,9.7026,9.111,1.822157434,2.340276153,111.04
11-Dec-00,1,1.138563133,0.686436024,1.5267,1.7095,9.7179,9.2086,1.848428835,2.366303833,110.79
12-Dec-00,1,1.137138958,0.69032169,1.5272,1.7126,9.7015,9.1885,1.84501845,2.366303833,111.44
13-Dec-00,1,1.140250855,0.686766019,1.52,1.7148,9.7648,9.2484,1.846381093,2.366303833,112.27
14-Dec-00,1,1.120699316,0.678748388,1.517,1.6877,9.6029,9.1093,1.839587932,2.345765893,111.91
15-Dec-00,1,1.115324559,0.677644508,1.5205,1.6821,9.6296,9.0593,1.832844575,2.358490566,112.58
18-Dec-00,1,1.116071429,0.677598591,1.5249,1.6798,9.6478,9.0301,1.843657817,2.321262767,112.24
19-Dec-00,1,1.116944041,0.680549884,1.5234,1.6817,9.747,9.0462,1.823486506,2.319109462,112.41
20-Dec-00,1,1.099747058,0.677414984,1.5217,1.6708,9.5971,8.9811,1.807011203,2.274277917,112.77
21-Dec-00,1,1.090988436,0.678656261,1.5213,1.6601,9.5756,8.9438,1.803101334,2.281021898,112.27
22-Dec-00,1,1.083188908,0.677277345,1.5171,1.6445,9.5889,8.8342,1.796945193,2.263980077,112.88
25-Dec-00,1,1.080263584,0.675812665,1.5173,1.6459,9.5765,8.8445,1.795977011,2.268088002,112.95
26-Dec-00,1,1.074922068,0.674354306,1.5107,1.6301,9.4988,8.8,1.791151711,2.262443439,113.57
27-Dec-00,1,1.073883162,0.66822586,1.511,1.6355,9.5522,8.8765,1.787629603,2.247696111,114.14
28-Dec-00,1,1.075731497,0.669702652,1.5002,1.634,9.531,8.8895,1.804077215,2.272727273,114.33
29-Dec-00,1,1.060782858,0.669792364,1.4991,1.6111,9.4158,8.8031,1.789549034,2.253775073,114.41
01-Jan-01,1,1.061233153,0.668493883,1.4979,1.6105,9.4108,8.7925,1.788588803,2.251238181,114.36
02-Jan-01,1,1.050751287,0.665513111,1.4933,1.5983,9.3957,8.7257,1.778410101,2.239641657,114.36
03-Jan-01,1,1.077586207,0.671411307,1.4978,1.6315,9.5826,8.9351,1.79662235,2.27998176,113.58
04-Jan-01,1,1.053185887,0.666266907,1.499,1.6037,9.3611,8.7164,1.76584849,2.243158367,115.55
05-Jan-01,1,1.044932079,0.664982045,1.4988,1.598,9.313,8.6434,1.74855744,2.207505519,116.53
08-Jan-01,1,1.056300834,0.668449198,1.4937,1.6099,9.4327,8.7562,1.762425097,2.214348981,116.16
09-Jan-01,1,1.05999576,0.671862403,1.4935,1.6143,9.4585,8.7403,1.774622893,2.231644722,116.88
10-Jan-01,1,1.067235859,0.672630659,1.5025,1.6295,9.4555,8.7455,1.806032147,2.252759631,116.43
11-Jan-01,1,1.050530518,0.667200427,1.4945,1.6131,9.305,8.5979,1.784758165,2.216312057,117.81
12-Jan-01,1,1.051193104,0.676315434,1.4991,1.6189,9.3101,8.6406,1.794365692,2.238638908,118.55
15-Jan-01,1,1.061571125,0.67691058,1.5009,1.6352,9.4374,8.7241,1.804728388,2.263467632,118.99
16-Jan-01,1,1.060782858,0.679347826,1.506,1.6335,9.459,8.7172,1.799532122,2.247696111,117.72
17-Jan-01,1,1.068604403,0.678702321,1.5117,1.6428,9.5145,8.7544,1.807664497,2.246686138,118.88
